Experience,Salary
1.1,2.22
1.3,2.86
1.8,3.27
1.8,2.93
1.8,3.02
1.9,2.86
1.9,3.34
2.0,3.06
2.0,2.97
2.1,2.92
2.1,2.95
2.1,3.23
2.1,2.94
2.2,3.04
2.2,3.04
2.2,2.95
2.3,3.72
2.3,3.29
2.3,2.95
2.4,3.24
2.5,3.36
2.8,3.81
2.8,3.43
3.1,4.04
3.2,4.23
3.3,4.08
3.4,3.99
3.4,4.1
3.6,3.98
3.6,3.97
3.7,4.32
3.7,4.62
3.7,3.88
3.8,4.4
3.9,5.08
4.0,4.97
4.0,4.81
4.3,5.47
4.3,5.26
4.3,5.57
4.4,5.23
4.4,5.47
4.4,5.52
4.5,5.21
4.8,5.8
4.8,6.02
4.9,6.59
5.0,6.04
5.1,6.23
5.1,6.46
5.2,6.41
5.2,6.8
5.3,6.9
5.3,7.04
5.3,6.87
5.4,6.84
5.6,7.73
5.7,7.7
5.8,7.92
5.8,8.3
5.8,7.99
6.0,8.25
6.1,8.72
6.2,8.46
6.3,8.57
6.3,9.4
6.3,8.99
6.4,8.75
6.5,9.54
6.5,9.58
6.7,9.86
6.7,9.91
6.8,9.54
6.9,10.4
6.9,10.66
6.9,10.33
7.0,10.65
7.0,10.77
7.2,11.0
7.2,10.89
7.3,11.16
7.5,12.09
7.5,12.05
7.6,12.44
7.6,12.24
7.9,13.07
7.9,13.04
8.0,13.24
8.0,13.12
8.0,13.94
8.0,13.48
8.0,13.32
8.0,13.7
8.2,14.17
8.2,13.87
8.2,13.82
8.2,13.73
8.4,14.9
8.5,14.87
8.6,14.97
8.7,15.41
8.7,15.1
8.7,15.38
8.9,16.24
9.1,16.75
9.1,16.53
9.2,17.04
9.2,17.07
9.3,17.21
9.4,18.14
9.4,17.83
9.4,17.48
9.4,17.91
9.5,17.95
9.5,18.15
9.6,18.27
9.6,18.42
9.9,19.62
10.0,19.87
10.0,19.7
