Area,Bedrooms,Age,Price
1018,5,8,41.1
1021,5,6,41.1
1034,4,1,45.0
1054,5,4,49.3
1062,2,5,43.1
1103,5,8,50.9
1111,3,6,47.0
1145,2,10,54.6
1200,2,10,57.9
1210,5,1,52.1
1262,2,2,56.7
1300,4,7,61.7
1356,3,7,57.9
1376,4,6,62.4
1425,5,2,66.8
1443,2,8,66.3
1452,5,10,71.5
1479,4,5,73.2
1481,5,5,71.1
1486,4,3,63.5
1582,4,4,67.9
1609,3,3,68.7
1610,2,9,78.0
1648,4,9,82.9
1672,5,4,80.9
1695,3,2,79.0
1712,4,8,81.3
1730,4,10,84.4
1762,5,3,84.0
1766,3,2,81.8
1769,4,9,84.5
1791,3,7,84.9
1821,2,6,84.3
1828,2,4,81.0
1846,5,3,92.6
1847,4,8,90.0
1851,5,3,88.5
1916,4,8,90.8
1925,3,4,93.4
1960,2,1,90.3
1979,3,3,93.3
1981,5,9,96.5
1996,2,9,97.5
2017,2,9,98.4
2039,4,5,97.7
2051,4,3,96.7
2077,5,10,107.8
2084,3,5,102.6
2120,5,7,101.9
2121,5,8,99.1
2173,4,2,100.2
2194,3,6,105.7
2199,4,6,104.6
2206,2,3,103.3
2225,3,5,106.7
2233,2,4,102.8
2247,4,3,108.0
2257,4,5,107.5
2262,2,6,105.9
2288,4,10,113.8
2293,3,2,113.3
2315,5,4,113.4
2328,2,6,111.4
2329,5,4,110.2
2349,5,6,117.0
2390,3,10,119.4
2416,3,3,116.9
2457,4,9,118.5
2466,2,2,109.7
2468,4,6,125.8
2496,2,10,126.1
2520,5,10,129.9
2535,4,9,121.3
2551,3,10,132.5
2573,2,1,122.1
2577,5,6,125.8
2580,5,1,121.5
2585,3,2,121.5
2594,3,5,128.6
2623,5,7,133.2
2627,5,2,129.2
2676,3,4,132.9
2723,5,9,145.5
2727,4,6,135.4
2758,5,6,141.9
2784,4,5,135.1
2802,2,10,141.8
2808,3,2,131.6
2813,2,10,145.2
2859,4,6,137.6
2889,4,3,139.3
2904,5,5,144.9
2908,5,5,141.3
2922,3,4,140.8
2986,2,5,149.4
3007,3,4,149.6
3089,4,7,155.6
3102,5,6,154.0
3108,3,5,151.8
3109,5,1,155.1
3112,5,9,159.2
3120,3,3,152.1
3126,5,7,161.7
3130,2,10,164.1
3136,5,4,157.8
3198,2,8,164.2
3203,3,10,166.6
3259,2,1,157.9
3268,5,8,164.9
3274,4,8,169.1
3294,4,3,164.3
3298,5,2,166.4
3319,3,10,170.2
3329,3,4,167.4
3352,2,8,169.1
3408,3,2,166.6
3455,4,7,177.2
3462,4,10,175.2
3490,2,4,176.8
3496,2,1,175.4
