Hours_Studied,Attendance,Previous_Score,Pass
1,58,77,1
1,63,65,1
1,64,55,0
1,72,61,1
1,73,46,1
1,73,65,0
1,81,42,0
1,82,47,0
1,82,63,1
1,86,51,1
1,92,47,1
2,56,45,1
2,58,53,1
2,61,61,0
2,66,54,1
2,69,53,1
2,72,83,1
2,73,54,1
2,75,70,1
2,78,78,1
2,80,72,1
2,80,76,1
2,92,86,1
2,95,53,1
3,58,87,1
3,59,75,1
3,66,41,1
3,66,79,1
3,67,44,0
3,69,75,1
3,73,46,0
3,73,66,1
3,75,43,0
3,94,41,1
4,56,61,1
4,57,68,1
4,63,48,0
4,65,66,1
4,70,67,1
4,71,64,1
4,73,80,1
4,74,71,1
4,75,40,1
4,75,66,1
4,86,86,1
4,90,70,1
4,92,45,1
5,58,72,1
5,67,45,1
5,67,86,1
5,68,47,1
5,72,68,1
5,75,87,1
5,77,48,1
5,78,48,1
5,79,45,1
5,79,73,1
5,83,66,1
5,84,56,1
5,84,81,1
5,86,61,1
5,88,70,1
5,90,54,1
5,95,78,1
6,55,54,1
6,68,85,1
6,73,49,1
6,73,87,1
6,78,85,1
6,81,44,1
6,84,88,1
6,87,44,1
6,89,68,1
7,58,49,1
7,58,55,1
7,59,79,1
7,61,80,1
7,62,48,1
7,65,46,1
7,65,51,1
7,68,66,1
7,71,72,1
7,75,41,1
7,77,56,1
7,82,63,1
7,82,68,1
7,86,60,1
7,87,72,1
7,91,53,1
7,94,51,1
7,94,77,1
8,55,63,1
8,60,62,1
8,60,71,1
8,64,56,1
8,67,47,1
8,67,52,1
8,69,48,1
8,72,60,1
8,77,78,1
8,78,44,1
8,83,70,1
8,83,72,1
8,83,84,1
8,84,58,1
8,84,84,1
8,86,67,1
8,87,55,1
8,88,88,1
8,90,42,1
8,95,88,1
9,61,54,1
9,61,68,1
9,70,55,1
9,71,85,1
9,77,64,1
9,83,83,1
9,85,62,1
9,88,85,1
9,93,57,1
